


 


 









 


Date,"Total Active(without ICU, ICUV, ICVO)",Total discharged,Total deceased,Total ICU
09-03-2020,3,0,0,0
10-03-2020,5,0,0,0
11-03-2020,5,0,0,0
12-03-2020,5,0,0,0
13-03-2020,6,0,1,0
14-03-2020,6,0,1,0
15-03-2020,6,0,1,0
16-03-2020,6,0,1,0
17-03-2020,10,0,1,0
18-03-2020,13,0,1,0
19-03-2020,14,0,1,0
20-03-2020,13,1,1,0
21-03-2020,18,1,1,0
22-03-2020,23,1,1,0
23-03-2020,31,1,1,0
24-03-2020,37,3,1,0
25-03-2020,47,3,1,0
26-03-2020,50,3,2,0
27-03-2020,56,5,3,0
28-03-2020,68,5,3,0
29-03-2020,75,5,3,0
30-03-2020,78,6,3,1
31-03-2020,87,9,3,2
01-04-2020,93,11,3,3
02-04-2020,107,11,3,3
03-04-2020,111,11,3,3
04-04-2020,126,11,4,3
05-04-2020,132,12,4,3
06-04-2020,136,20,4,3
07-04-2020,142,27,4,2
08-04-2020,143,31,5,2
09-04-2020,157,33,5,2
10-04-2020,163,35,5,4
11-04-2020,167,39,5,4
12-04-2020,169,54,5,4
13-04-2020,179,60,5,3
14-04-2020,177,71,9,3
15-04-2020,186,80,11,2
16-04-2020,219,82,13,1
17-04-2020,255,88,13,3
18-04-2020,263,104,14,3
19-04-2020,261,111,16,2
20-04-2020,278,112,16,2
21-04-2020,267,129,17,5
22-04-2020,274,131,17,5
23-04-2020,278,145,17,5
24-04-2020,299,152,18,5
25-04-2020,317,158,18,7
26-04-2020,296,182,19,6
27-04-2020,294,193,20,5
28-04-2020,288,207,21,7
29-04-2020,290,216,21,7
30-04-2020,305,229,22,9
01-05-2020,306,251,23,9
02-05-2020,297,271,26,7
03-05-2020,292,293,26,3
04-05-2020,296,321,28,6
05-05-2020,306,331,30,6
06-05-2020,303,354,30,6
07-05-2020,302,366,31,6
08-05-2020,341,376,31,5
09-05-2020,371,386,31,6
10-05-2020,388,422,32,6
11-05-2020,395,426,32,9
12-05-2020,449,433,32,11
13-05-2020,464,451,34,10
14-05-2020,482,460,36,9
15-05-2020,528,480,36,11
16-05-2020,546,496,36,13
17-05-2020,587,509,37,13
18-05-2020,666,530,37,12
19-05-2020,805,543,40,6
20-05-2020,849,556,41,15
21-05-2020,983,571,41,9
22-05-2020,1085,597,41,19
23-05-2020,1294,608,42,13
24-05-2020,1374,654,42,17
25-05-2020,1414,705,44,17
26-05-2020,1471,748,44,18
27-05-2020,1574,765,47,14
28-05-2020,1637,834,47,13
29-05-2020,1822,894,48,15
30-05-2020,1859,997,49,15
31-05-2020,1935,1218,51,15
01-06-2020,2014,1328,52,12
02-06-2020,2325,1403,52,14
03-06-2020,2478,1514,53,16
04-06-2020,2638,1610,57,13
05-06-2020,3075,1688,57,13
06-06-2020,3173,1968,59,11
07-06-2020,3247,2132,61,10
08-06-2020,3161,2519,64,14
09-06-2020,3236,2605,66,12
10-06-2020,3094,2862,69,14
11-06-2020,3185,2976,72,10
12-06-2020,2976,3440,79,19
13-06-2020,3077,3648,81,15
14-06-2020,2940,3955,86,16
