Date,Cases
2020-03-09,1
2020-03-10,2
2020-03-12,1
2020-03-13,1
2020-03-17,4
2020-03-18,3
2020-03-19,1
2020-03-21,5
2020-03-22,5
2020-03-23,8
2020-03-24,8
2020-03-25,10
2020-03-26,4
2020-03-27,9
2020-03-28,12
2020-03-29,7
2020-03-30,5
2020-03-31,13
2020-04-01,9
2020-04-02,14
2020-04-03,4
2020-04-04,16
2020-04-05,7
2020-04-06,12
2020-04-07,12
2020-04-08,6
2020-04-09,16
2020-04-10,10
2020-04-11,8
2020-04-12,17
2020-04-13,15
2020-04-14,13
2020-04-15,19
2020-04-16,36
2020-04-17,44
2020-04-18,25
2020-04-19,6
2020-04-20,18
2020-04-21,10
2020-04-22,9
2020-04-23,18
2020-04-24,29
2020-04-25,26
2020-04-26,3
2020-04-27,9
2020-04-28,11
2020-04-29,11
2020-04-30,31
2020-05-01,24
2020-05-02,12
2020-05-03,13
2020-05-04,37
2020-05-05,22
2020-05-06,20
2020-05-07,12
2020-05-08,48
2020-05-09,41
2020-05-10,54
2020-05-11,14
2020-05-12,63
2020-05-13,34
2020-05-14,28
2020-05-15,69
2020-05-16,36
2020-05-17,55
2020-05-18,99
2020-05-19,149
2020-05-20,67
2020-05-21,143
2020-05-22,138
2020-05-23,216
2020-05-24,130
2020-05-25,93
2020-05-26,101
2020-05-27,135
2020-05-28,115
2020-05-29,248
2020-05-30,141
2020-05-31,299
2020-06-01,187
2020-06-02,388
2020-06-03,267
2020-06-04,257
2020-06-05,515
2020-06-06,378
2020-06-07,239
2020-06-08,308
2020-06-09,161
2020-06-10,120
2020-06-11,204
2020-06-12,271
2020-06-13,308
2020-06-14,176
2020-06-15,213
2020-06-16,317
2020-06-17,204
2020-06-18,210
2020-06-19,337
2020-06-20,416
2020-06-21,453
2020-06-22,249
2020-06-23,322
2020-06-24,397
2020-06-25,442
2020-06-26,445
2020-06-27,918
2020-06-28,1267
2020-06-29,1105
2020-06-30,947
2020-07-01,1272
2020-07-02,1502
2020-07-03,1694
2020-07-04,1839
2020-07-05,1925
2020-07-06,1843
2020-07-07,1498
2020-07-08,2062
2020-07-09,2228
2020-07-10,2313
2020-07-11,2798
2020-07-12,2627
2020-07-13,2738
2020-07-14,2501
2020-07-15,3178
2020-07-16,4169
2020-07-17,3685
2020-07-18,4537
2020-07-19,4120
2020-07-20,3648
2020-07-21,3649
NA,2
