Source,Target
1,2
1,3
4,8
4,9
11,16
19,22
17,30
13,38
17,49
17,50
25,55
25,59
25,61
36,65
36,66
36,67
19,69
19,70
19,71
19,72
19,73
42,75
35,76
60,84
59,92
52,95
52,96
9,99
103,105
52,109
52,110
88,111
88,112
81,113
58,129
58,130
101,131
109,140
43,152
104,154
125,161
125,162
125,165
134,171
134,172
134,173
124,174
175,178
134,179
128,182
154,183
159,184
78,185
165,186
165,187
165,188
94,191
128,192
128,193
167,198
167,199
103,200
103,201
111,202
85,203
183,204
169,206
206,207
196,208
88,209
88,210
122,211
88,212
88,213
88,214
92,215
88,216
177,220
177,222
150,223
128,224
150,225
150,226
194,233
194,234
194,235
194,236
179,237
179,238
179,239
164,240
211,241
211,242
149,243
149,244
149,245
165,248
165,249
125,251
177,254
205,255
177,256
221,257
199,259
176,260
186,262
221,275
221,276
252,277
221,278
224,279
252,280
225,282
224,283
225,284
224,285
224,286
224,287
224,288
224,289
245,298
245,299
245,300
245,301
274,302
166,304
221,305
221,306
221,307
221,308
221,309
228,310
77,312
221,313
168,316
168,317
52,318
52,319
52,320
273,321
171,322
171,323
171,324
252,326
252,327
221,329
221,330
89,331
141,332
141,333
141,334
141,335
141,336
141,337
250,338
250,339
250,340
52,341
52,342
52,343
52,344
52,345
52,346
52,347
52,348
168,350
168,351
168,352
168,353
127,355
127,356
127,357
127,358
127,359
205,360
174,361
221,362
236,363
128,364
52,365
52,366
186,367
186,368
304,370
134,371
263,372
263,373
306,374
267,375
167,376
167,377
167,378
263,379
263,380
52,382
52,383
52,384
52,387
319,388
325,389
175,391
205,392
205,393
177,394
205,395
370,396
221,397
221,398
221,399
221,400
362,401
362,402
362,403
221,404
228,405
221,406
221,407
117,408
306,410
306,411
306,415
52,416
52,417
293,418
208,420
222,421
393,423
395,424
395,425
383,426
52,427
221,428
236,430
236,431
390,432
419,433
420,434
421,435
422,436
423,437
424,438
425,439
426,440
427,441
171,442
179,443
252,444
413,445
150,448
250,451
380,455
221,457
419,458
419,459
419,460
419,461
419,462
148,463
179,464
221,467
380,468
419,469
419,470
419,471
419,472
419,473
419,474
419,476
419,477
419,478
419,479
419,480
78,481
128,482
128,483
128,484
128,485
128,486
128,487
409,489
419,490
419,491
419,492
419,493
128,494
128,495
128,496
382,497
465,498
465,499
465,500
432,501
422,502
425,503
432,506
432,507
456,508
456,509
221,510
371,512
425,515
425,516
425,517
425,518
425,519
425,520
425,521
456,522
381,523
293,524
395,525
515,526
425,527
205,528
425,529
205,530
425,531
425,532
346,534
501,536
221,537
221,538
496,539
483,540
293,541
293,542
486,543
496,544
494,545
483,546
496,547
484,548
486,549
486,550
293,551
496,552
535,553
314,558
292,559
292,560
292,561
292,562
292,563
281,564
566,569
179,570
179,571
179,572
179,573
301,574
301,575
301,576
510,577
390,578
536,579
556,580
556,581
556,582
556,583
556,584
556,585
250,586
425,588
553,591
553,592
250,593
221,594
221,595
128,596
381,597
444,598
565,599
565,600
565,601
532,602
532,603
380,605
380,606
350,612
350,613
350,614
556,615
533,616
533,617
533,618
533,619
533,620
533,621
533,622
556,624
533,625
533,626
533,627
533,628
533,629
533,630
533,631
533,632
533,633
533,634
533,635
586,636
228,640
604,641
590,643
590,644
590,645
590,646
590,647
590,648
590,649
533,651
420,653
367,655
367,656
536,658
556,660
556,661
556,662
556,663
581,664
556,665
581,666
581,667
581,668
581,669
581,670
581,671
639,672
536,674
536,675
390,676
654,677
654,678
610,679
