


 


 









 


,12-Apr,12-Apr,12-Apr,12-Apr,13-Apr,13-Apr,13-Apr,13-Apr,14-Apr,14-Apr,14-Apr,14-Apr,15-Apr,15-Apr,15-Apr,15-Apr,16-Apr,16-Apr,16-Apr,16-Apr,17-Apr,17-Apr,17-Apr,17-Apr,18-Apr,18-Apr,18-Apr,18-Apr,19-Apr,19-Apr,19-Apr,19-Apr,20-Apr,20-Apr,20-Apr,20-Apr,24-Apr,24-Apr,24-Apr,24-Apr,26-Apr,26-Apr,26-Apr,26-Apr,05-May,05-May,05-May,05-May,07-May,07-May,07-May,07-May,10-May,10-May,10-May,10-May,11-May,11-May,11-May,11-May,12-May,12-May,12-May,12-May,17-May,17-May,17-May,17-May,19-May,19-May,19-May,19-May,20-May,20-May,20-May,20-May,22-May,22-May,22-May,22-May,23-May,23-May,23-May,23-May,24-May,24-May,24-May,24-May,25-May,25-May,25-May,25-May,26-May,26-May,26-May,26-May,27-May,27-May,27-May,27-May,29-May,29-May,29-May,29-May,30-May,30-May,30-May,30-May,31-May,31-May,31-May,31-May,01-Jun,01-Jun,01-Jun,01-Jun,02-Jun,02-Jun,02-Jun,02-Jun,05-Jun,05-Jun,05-Jun,05-Jun,06-Jun,06-Jun,06-Jun,06-Jun,07-Jun,07-Jun,07-Jun,07-Jun,08-Jun,08-Jun,08-Jun,08-Jun,09-Jun,09-Jun,09-Jun,09-Jun,13-Jun,13-Jun,13-Jun,13-Jun
District/Municipal Corporation,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death
Mumbai Municipal Corporation,1298,0,0,92,1540,0,0,101,1756,0,0,112,1896,0,0,114,2073,0,0,117,2085,0,0,122,2268,0,0,126,2724,0,0,132,3032,0,0,139,4447,0,0,178,5407,0,0,204,9945,0,0,387,11394,0,0,437,13739,0,0,508,14521,0,0,528,14947,0,0,556,20150,0,0,734,22746,0,0,800,24118,0,0,841,27251,0,0,909,28817,0,0,949,30542,0,0,988,31972,0,0,1026,32974,0,0,1065,34018,0,0,1097,36932,0,0,1173,38442,0,0,1227,39686,0,0,1279,41099,0,0,1319,42216,0,0,1368,46080,0,0,1519,47354,0,0,1577,48774,0,0,1638,50085,0,0,1702,51100,0,0,1760,56831,0,0,2113
Thane,6,0,0,0,6,0,0,0,6,0,0,0,12,0,0,0,13,0,0,0,29,0,0,2,18,0,0,2,20,0,0,2,20,0,0,2,35,0,0,2,738,0,0,14,82,0,0,2,93,0,0,2,121,0,0,2,125,0,0,2,140,0,0,3,228,0,0,4,253,0,0,4,309,0,0,4,366,0,0,4,394,0,0,4,420,0,0,4,457,0,0,4,484,0,0,5,510,0,0,5,577,0,0,7,614,0,0,7,709,0,0,7,752,0,0,7,808,0,0,7,994,0,0,16,1065,0,0,21,1167,0,0,21,1241,0,0,22,1329,0,0,23,1694,0,0,23
Thane Municipal Corporation,44,0,0,3,53,0,0,3,96,0,0,3,97,0,0,3,109,0,0,3,96,0,0,1,116,0,0,2,110,0,0,2,134,0,0,2,220,0,0,4,0,0,0,0,466,0,0,8,650,0,0,8,880,0,0,8,927,0,0,10,1004,0,0,11,1550,0,0,18,1916,0,0,33,1865,0,0,33,2234,0,0,34,2405,0,0,35,2590,0,0,36,2739,0,0,38,2866,0,0,52,3048,0,0,68,3409,0,0,71,3572,0,0,77,3721,0,0,82,3902,0,0,83,4019,0,0,84,4581,0,0,115,4710,0,0,120,4861,0,0,120,5016,0,0,120,5171,0,0,131,5882,0,0,160
Navi Mumbai Municipal Corporation,45,0,0,3,46,0,0,3,63,0,0,3,68,0,0,3,68,0,0,3,63,0,0,3,65,0,0,3,72,0,0,3,83,0,0,3,125,0,0,4,0,0,0,0,415,0,0,4,659,0,0,4,826,0,0,4,898,0,0,4,955,0,0,4,1368,0,0,14,1504,0,0,24,1593,0,0,27,1776,0,0,29,1878,0,0,29,2007,0,0,29,2068,0,0,32,2154,0,0,32,2294,0,0,39,2461,0,0,50,2617,0,0,52,2673,0,0,61,2729,0,0,67,2887,0,0,71,3165,0,0,80,3357,0,0,86,3484,0,0,86,3590,0,0,86,3695,0,0,87,4514,0,0,104
Kalyan-Dombivali Municipal Corporation,46,0,0,2,50,0,0,2,50,0,0,2,50,0,0,2,50,0,0,2,68,0,0,2,73,0,0,2,69,0,0,2,84,0,0,2,131,0,0,3,0,0,0,0,227,0,0,3,263,0,0,3,351,0,0,3,366,0,0,3,384,0,0,3,520,0,0,6,557,0,0,6,612,0,0,6,727,0,0,7,784,0,0,7,889,0,0,7,941,0,0,8,989,0,0,18,1052,0,0,18,1191,0,0,19,1240,0,0,21,1318,0,0,25,1333,0,0,27,1404,0,0,27,1612,0,0,34,1698,0,0,34,1812,0,0,34,1887,0,0,36,1977,0,0,36,2514,0,0,47
Ulhasnagar Municipal Corporation,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,,12,0,0,0,14,0,0,0,26,0,0,0,30,0,0,0,53,0,0,0,101,0,0,0,103,0,0,0,130,0,0,2,144,0,0,3,145,0,0,3,169,0,0,3,180,0,0,3,198,0,0,6,214,0,0,6,267,0,0,6,313,0,0,6,331,0,0,6,356,0,0,6,378,0,0,6,440,0,0,9,485,0,0,15,499,0,0,20,553,0,0,21,570,0,0,21,723,0,0,24
Bhivandi-Nizampur Municipal Corporation,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,20,0,0,2,21,0,0,2,30,0,0,2,32,0,0,2,35,0,0,2,48,0,0,2,50,0,0,3,74,0,0,3,82,0,0,3,82,0,0,3,86,0,0,3,98,0,0,3,99,0,0,3,100,0,0,3,108,0,0,6,120,0,0,6,134,0,0,6,154,0,0,6,176,0,0,6,241,0,0,8,247,0,0,11,266,0,0,11,294,0,0,12,342,0,0,12,503,0,0,12
Mira-Bhayandar Municipal Corporation,42,0,0,1,49,0,0,2,49,0,0,2,51,0,0,2,51,0,0,2,53,0,0,2,64,0,0,2,71,0,0,2,78,0,0,2,118,0,0,2,0,0,0,0,182,0,0,2,189,0,0,2,214,0,0,2,214,0,0,2,243,0,0,2,300,0,0,4,331,0,0,4,317,0,0,4,388,0,0,4,442,0,0,4,464,0,0,5,475,0,0,5,525,0,0,10,563,0,0,10,625,0,0,13,647,0,0,13,699,0,0,13,715,0,0,20,732,0,0,29,844,0,0,30,902,0,0,35,925,0,0,39,946,0,0,39,979,0,0,45,1476,0,0,55
Palghar,4,0,0,1,4,0,0,1,5,0,0,1,5,0,0,1,5,0,0,1,14,0,0,1,21,0,0,1,17,0,0,1,17,0,0,1,21,0,0,1,141,0,0,4,31,0,0,1,46,0,0,2,34,0,0,2,37,0,0,2,38,0,0,2,61,0,0,2,67,0,0,3,68,0,0,3,107,0,0,3,111,0,0,3,114,0,0,3,120,0,0,3,122,0,0,3,126,0,0,3,137,0,0,3,141,0,0,3,144,0,0,3,152,0,0,3,156,0,0,3,178,0,0,4,192,0,0,5,210,0,0,6,214,0,0,6,221,0,0,6,402,0,0,6
