Date,State,Daily cases,"Daily cases, seven day moving average",Status,State name
2020-03-14,AN,0,NA,Falling,Andaman and Nicobar
2020-03-14,AP,1,NA,Rising,Andhra Pradesh
2020-03-14,AR,0,NA,Rising,Arunachal Pradesh
2020-03-14,AS,0,NA,Rising,Assam
2020-03-14,BR,0,NA,Rising,Bihar
2020-03-14,CH,0,NA,Rising,Chandigarh
2020-03-14,CT,0,NA,Rising,Chhattisgarh
2020-03-14,DN,0,NA,Stable,Dadra and Nagar Haveli
2020-03-14,DL,7,NA,Falling,Delhi
2020-03-14,GA,0,NA,Rising,Goa
2020-03-14,GJ,0,NA,Rising,Gujarat
2020-03-14,HR,14,NA,Rising,Haryana
2020-03-14,HP,0,NA,Stable,Himachal Pradesh
2020-03-14,JK,2,NA,Rising,Jammu and Kashmir
2020-03-14,JH,0,NA,Rising,Jharkhand
2020-03-14,KA,6,NA,Rising,Karnataka
2020-03-14,KL,19,NA,Rising,Kerala
2020-03-14,LA,0,NA,Falling,Ladakh
2020-03-14,MP,0,NA,Rising,Madhya Pradesh
2020-03-14,MH,14,NA,Rising,Maharashtra
2020-03-14,MN,0,NA,Falling,Manipur
2020-03-14,ML,0,NA,Rising,Meghalaya
2020-03-14,MZ,0,NA,Stable,Mizoram
2020-03-14,NL,0,NA,Rising,Nagaland
2020-03-14,OR,0,NA,Rising,Odisha
2020-03-14,PY,0,NA,Rising,Puducherry
2020-03-14,PB,1,NA,Rising,Punjab
2020-03-14,RJ,3,NA,Rising,Rajasthan
2020-03-14,SK,0,NA,Rising,Sikkim
2020-03-14,TN,1,NA,Rising,Tamil Nadu
2020-03-14,TG,1,NA,Rising,Telangana
2020-03-14,TR,0,NA,Rising,Tripura
2020-03-14,UP,12,NA,Rising,Uttar Pradesh
2020-03-14,UT,0,NA,Stable,Uttarakhand
2020-03-14,WB,0,NA,Rising,West Bengal
2020-03-15,AN,0,NA,Falling,Andaman and Nicobar
2020-03-15,AP,0,NA,Rising,Andhra Pradesh
2020-03-15,AR,0,NA,Rising,Arunachal Pradesh
2020-03-15,AS,0,NA,Rising,Assam
2020-03-15,BR,0,NA,Rising,Bihar
2020-03-15,CH,0,NA,Rising,Chandigarh
2020-03-15,CT,0,NA,Rising,Chhattisgarh
2020-03-15,DN,0,NA,Stable,Dadra and Nagar Haveli
2020-03-15,DL,0,NA,Falling,Delhi
2020-03-15,GA,0,NA,Rising,Goa
2020-03-15,GJ,0,NA,Rising,Gujarat
2020-03-15,HR,0,NA,Rising,Haryana
2020-03-15,HP,0,NA,Stable,Himachal Pradesh
2020-03-15,JK,0,NA,Rising,Jammu and Kashmir
2020-03-15,JH,0,NA,Rising,Jharkhand
2020-03-15,KA,0,NA,Rising,Karnataka
2020-03-15,KL,5,NA,Rising,Kerala
2020-03-15,LA,0,NA,Falling,Ladakh
2020-03-15,MP,0,NA,Rising,Madhya Pradesh
2020-03-15,MH,18,NA,Rising,Maharashtra
2020-03-15,MN,0,NA,Falling,Manipur
2020-03-15,ML,0,NA,Rising,Meghalaya
2020-03-15,MZ,0,NA,Stable,Mizoram
2020-03-15,NL,0,NA,Rising,Nagaland
2020-03-15,OR,0,NA,Rising,Odisha
2020-03-15,PY,0,NA,Rising,Puducherry
2020-03-15,PB,0,NA,Rising,Punjab
2020-03-15,RJ,1,NA,Rising,Rajasthan
2020-03-15,SK,0,NA,Rising,Sikkim
2020-03-15,TN,0,NA,Rising,Tamil Nadu
2020-03-15,TG,2,NA,Rising,Telangana
2020-03-15,TR,0,NA,Rising,Tripura
2020-03-15,UP,1,NA,Rising,Uttar Pradesh
2020-03-15,UT,0,NA,Stable,Uttarakhand
2020-03-15,WB,0,NA,Rising,West Bengal
2020-03-16,AN,0,NA,Falling,Andaman and Nicobar
2020-03-16,AP,0,NA,Rising,Andhra Pradesh
2020-03-16,AR,0,NA,Rising,Arunachal Pradesh
2020-03-16,AS,0,NA,Rising,Assam
2020-03-16,BR,0,NA,Rising,Bihar
2020-03-16,CH,0,NA,Rising,Chandigarh
2020-03-16,CT,0,NA,Rising,Chhattisgarh
2020-03-16,DN,0,NA,Stable,Dadra and Nagar Haveli
2020-03-16,DL,0,NA,Falling,Delhi
2020-03-16,GA,0,NA,Rising,Goa
2020-03-16,GJ,0,NA,Rising,Gujarat
2020-03-16,HR,0,NA,Rising,Haryana
2020-03-16,HP,0,NA,Stable,Himachal Pradesh
2020-03-16,JK,1,NA,Rising,Jammu and Kashmir
2020-03-16,JH,0,NA,Rising,Jharkhand
2020-03-16,KA,1,NA,Rising,Karnataka
2020-03-16,KL,3,NA,Rising,Kerala
2020-03-16,LA,0,NA,Falling,Ladakh
2020-03-16,MP,0,NA,Rising,Madhya Pradesh
2020-03-16,MH,6,NA,Rising,Maharashtra
2020-03-16,MN,0,NA,Falling,Manipur
2020-03-16,ML,0,NA,Rising,Meghalaya
2020-03-16,MZ,0,NA,Stable,Mizoram
2020-03-16,NL,0,NA,Rising,Nagaland
2020-03-16,OR,1,NA,Rising,Odisha
2020-03-16,PY,1,NA,Rising,Puducherry
2020-03-16,PB,0,NA,Rising,Punjab
2020-03-16,RJ,0,NA,Rising,Rajasthan
2020-03-16,SK,0,NA,Rising,Sikkim
2020-03-16,TN,0,NA,Rising,Tamil Nadu
2020-03-16,TG,1,NA,Rising,Telangana
2020-03-16,TR,0,NA,Rising,Tripura
2020-03-16,UP,0,NA,Rising,Uttar Pradesh
2020-03-16,UT,1,NA,Stable,Uttarakhand
2020-03-16,WB,0,NA,Rising,West Bengal
2020-03-17,AN,0,0,Falling,Andaman and Nicobar
2020-03-17,AP,0,0.42857142857142855,Rising,Andhra Pradesh
2020-03-17,AR,0,0,Rising,Arunachal Pradesh
2020-03-17,AS,0,0,Rising,Assam
2020-03-17,BR,0,0,Rising,Bihar
2020-03-17,CH,0,0.7142857142857143,Rising,Chandigarh
2020-03-17,CT,0,0.14285714285714285,Rising,Chhattisgarh
2020-03-17,DN,0,0,Stable,Dadra and Nagar Haveli
2020-03-17,DL,1,2.857142857142857,Falling,Delhi
2020-03-17,GA,0,0,Rising,Goa
2020-03-17,GJ,0,1,Rising,Gujarat
2020-03-17,HR,1,2.7142857142857144,Rising,Haryana
2020-03-17,HP,0,0.2857142857142857,Stable,Himachal Pradesh
2020-03-17,JK,0,0.5714285714285714,Rising,Jammu and Kashmir
2020-03-17,JH,0,0,Rising,Jharkhand
2020-03-17,KA,2,2.142857142857143,Rising,Karnataka
2020-03-17,KL,0,5.714285714285714,Rising,Kerala
2020-03-17,LA,0,1.4285714285714286,Falling,Ladakh
2020-03-17,MP,0,0.5714285714285714,Rising,Madhya Pradesh
2020-03-17,MH,3,7.428571428571429,Rising,Maharashtra
2020-03-17,MN,0,0,Falling,Manipur
2020-03-17,ML,0,0,Rising,Meghalaya
2020-03-17,MZ,0,0,Stable,Mizoram
2020-03-17,NL,0,0,Rising,Nagaland
2020-03-17,OR,0,0.2857142857142857,Rising,Odisha
2020-03-17,PY,0,0.14285714285714285,Rising,Puducherry
2020-03-17,PB,0,0.42857142857142855,Rising,Punjab
2020-03-17,RJ,0,2.4285714285714284,Rising,Rajasthan
2020-03-17,SK,0,0,Rising,Sikkim
2020-03-17,TN,0,0.42857142857142855,Rising,Tamil Nadu
2020-03-17,TG,1,2.7142857142857144,Rising,Telangana
2020-03-17,TR,0,0,Rising,Tripura
2020-03-17,UP,2,3.4285714285714284,Rising,Uttar Pradesh
2020-03-17,UT,0,0.42857142857142855,Stable,Uttarakhand
2020-03-17,WB,1,0.2857142857142857,Rising,West Bengal
2020-03-18,AN,0,0,Falling,Andaman and Nicobar
2020-03-18,AP,0,0.5714285714285714,Rising,Andhra Pradesh
2020-03-18,AR,0,0,Rising,Arunachal Pradesh
2020-03-18,AS,0,0,Rising,Assam
2020-03-18,BR,0,0,Rising,Bihar
2020-03-18,CH,0,0.7142857142857143,Rising,Chandigarh
2020-03-18,CT,0,0.14285714285714285,Rising,Chhattisgarh
2020-03-18,DN,0,0,Stable,Dadra and Nagar Haveli
2020-03-18,DL,2,2.857142857142857,Falling,Delhi
2020-03-18,GA,0,0,Rising,Goa
2020-03-18,GJ,0,2,Rising,Gujarat
2020-03-18,HR,1,1,Rising,Haryana
2020-03-18,HP,0,0.2857142857142857,Stable,Himachal Pradesh
2020-03-18,JK,1,0.2857142857142857,Rising,Jammu and Kashmir
2020-03-18,JH,0,0,Rising,Jharkhand
2020-03-18,KA,5,2,Rising,Karnataka
2020-03-18,KL,0,4.714285714285714,Rising,Kerala
2020-03-18,LA,8,1.8571428571428572,Falling,Ladakh
2020-03-18,MP,0,0.5714285714285714,Rising,Madhya Pradesh
2020-03-18,MH,3,7.142857142857143,Rising,Maharashtra
2020-03-18,MN,0,0,Falling,Manipur
2020-03-18,ML,0,0,Rising,Meghalaya
2020-03-18,MZ,0,0,Stable,Mizoram
2020-03-18,NL,0,0,Rising,Nagaland
2020-03-18,OR,1,0.2857142857142857,Rising,Odisha
2020-03-18,PY,0,0.14285714285714285,Rising,Puducherry
2020-03-18,PB,1,1.7142857142857142,Rising,Punjab
2020-03-18,RJ,3,3,Rising,Rajasthan
2020-03-18,SK,0,0,Rising,Sikkim
2020-03-18,TN,1,0.7142857142857143,Rising,Tamil Nadu
2020-03-18,TG,8,2.857142857142857,Rising,Telangana
2020-03-18,TR,0,0,Rising,Tripura
2020-03-18,UP,2,2.2857142857142856,Rising,Uttar Pradesh
2020-03-18,UT,1,0.42857142857142855,Stable,Uttarakhand
2020-03-18,WB,0,0.5714285714285714,Rising,West Bengal
2020-03-19,AN,0,0,Falling,Andaman and Nicobar
2020-03-19,AP,2,0.7142857142857143,Rising,Andhra Pradesh
2020-03-19,AR,0,0,Rising,Arunachal Pradesh
2020-03-19,AS,0,0,Rising,Assam
2020-03-19,BR,0,0.2857142857142857,Rising,Bihar
2020-03-19,CH,1,0.8571428571428571,Rising,Chandigarh
2020-03-19,CT,1,0.14285714285714285,Rising,Chhattisgarh
2020-03-19,DN,0,0,Stable,Dadra and Nagar Haveli
2020-03-19,DL,4,2.857142857142857,Falling,Delhi
2020-03-19,GA,0,0,Rising,Goa
2020-03-19,GJ,2,2.5714285714285716,Rising,Gujarat
2020-03-19,HR,1,1,Rising,Haryana
2020-03-19,HP,0,0.2857142857142857,Stable,Himachal Pradesh
2020-03-19,JK,0,0.2857142857142857,Rising,Jammu and Kashmir
2020-03-19,JH,0,0,Rising,Jharkhand
2020-03-19,KA,1,2.857142857142857,Rising,Karnataka
2020-03-19,KL,1,6.142857142857143,Rising,Kerala
2020-03-19,LA,0,1.8571428571428572,Falling,Ladakh
2020-03-19,MP,0,0.8571428571428571,Rising,Madhya Pradesh
2020-03-19,MH,4,6,Rising,Maharashtra
2020-03-19,MN,0,0,Falling,Manipur
2020-03-19,ML,0,0,Rising,Meghalaya
2020-03-19,MZ,0,0,Stable,Mizoram
2020-03-19,NL,0,0,Rising,Nagaland
2020-03-19,OR,0,0.2857142857142857,Rising,Odisha
2020-03-19,PY,0,0.14285714285714285,Rising,Puducherry
2020-03-19,PB,0,2.857142857142857,Rising,Punjab
2020-03-19,RJ,2,3.4285714285714284,Rising,Rajasthan
2020-03-19,SK,0,0,Rising,Sikkim
2020-03-19,TN,1,1.1428571428571428,Rising,Tamil Nadu
